TS      Day   Newton   INJ1:BHP    INJ1:RATE0    INJ1:RATE1   INJ2:BHP    INJ2:RATE0    INJ2:RATE1   INJ3:BHP    INJ3:RATE0    INJ3:RATE1   PRD1:BHP    PRD1:RATE0    PRD1:RATE1   PRD2:BHP    PRD2:RATE0    PRD2:RATE1   PRD3:BHP    PRD3:RATE0    PRD3:RATE1   PRD4:BHP    PRD4:RATE0    PRD4:RATE1   PRD5:BHP    PRD5:RATE0    PRD5:RATE1   PRD6:BHP    PRD6:RATE0    PRD6:RATE1
0         0        0     317.16      -1.53074             0          0             0             0          0             0             0      68.95   1.33728e-16       53.5338          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
1         1        2     317.16      -1.34053             0          0             0             0          0             0             0      68.95     0.0230379       45.6784          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
2         6        2     317.16      -1.16142             0          0             0             0          0             0             0      68.95     0.0407372       36.6555          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
3        31        2     317.16      -1.04196             0          0             0             0          0             0             0      68.95     0.0425249       32.3219          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
4        81        2     317.16     -0.971112             0          0             0             0          0             0             0      68.95     0.0382669       30.9466          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
5       131        2     317.16     -0.956739             0          0             0             0          0             0             0      68.95     0.0345069       30.3886          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
6       180        2     317.16     -0.971975             0          0             0             0          0             0             0      68.95     0.0315313       30.0595          0             0             0          0             0             0          0             0             0          0             0             0          0             0             0
7       230        6     482.63      -23.3298             0     317.16      -20.9743             0          0             0             0    177.156    0.00600224       15.4364      68.95       1.46124       502.705          0             0             0          0             0             0          0             0             0          0             0             0
8       280        4     482.63      -28.7812             0     317.16      -17.6747             0          0             0             0    177.156    0.00555155       16.0956      68.95      0.891949        258.74          0             0             0          0             0             0          0             0             0          0             0             0
9       330        4     482.63      -32.4953             0     317.16      -16.3121             0          0             0             0    177.156    0.00539096       16.3168      68.95       0.61951       167.501          0             0             0          0             0             0          0             0             0          0             0             0
